nanoseconds,executed_shares,execution_price,match_number,order_number,price,shares,tracking_number,buysell_S,msg_type_E,msg_type_P,date
35341644268602,1.0,125.28,821318.0,36003230.0,125.28,1.0,2,0,1,0,20180301
35341682697313,1.0,125.28,821333.0,36004066.0,125.28,1.0,2,0,1,0,20180301
35343203127650,100.0,125.26,821973.0,36004742.0,125.26,100.0,2,0,1,0,20180301
35343203142339,78.0,125.26,821974.0,0.0,125.26,78.0,2,0,0,1,20180301
35343203154808,22.0,125.26,821975.0,0.0,125.26,22.0,2,0,0,1,20180301
35350002651970,15.0,125.26,824531.0,36027730.0,125.26,100.0,2,0,1,0,20180301
35350002677266,85.0,125.26,824532.0,36027730.0,125.26,100.0,2,0,1,0,20180301
35433462604686,15.0,125.24,863905.0,37983418.0,125.24,15.0,2,1,1,0,20180301
35433462634883,100.0,125.25,863910.0,37027338.0,125.25,100.0,2,1,1,0,20180301
35433462634883,40.0,125.25,863911.0,37703238.0,125.25,40.0,4,1,1,0,20180301
35433462635783,40.0,125.26,863912.0,36872170.0,125.26,40.0,2,1,1,0,20180301
35433462664673,40.0,125.28,863918.0,36796270.0,125.28,100.0,2,1,1,0,20180301
35433462674619,60.0,125.28,863919.0,36796270.0,125.28,100.0,2,1,1,0,20180301
35448366953488,100.0,125.51,869935.0,38364310.0,125.51,100.0,2,1,1,0,20180301
35448366980909,40.0,125.51,869936.0,38364526.0,125.51,40.0,2,1,1,0,20180301
35448366980909,40.0,125.51,869937.0,38364550.0,125.51,40.0,4,1,1,0,20180301
35503033567985,200.0,125.43,897727.0,39504362.0,125.43,284.0,2,0,1,0,20180301
35503033695455,84.0,125.43,897728.0,39504362.0,125.43,284.0,2,0,1,0,20180301
35503033711656,5.0,125.41,897729.0,39106514.0,125.41,50.0,2,0,1,0,20180301
35503034124045,45.0,125.41,897730.0,39106514.0,125.41,50.0,2,0,1,0,20180301
35503034124045,5.0,125.41,897731.0,39510014.0,125.41,5.0,4,0,1,0,20180301
35504602884037,100.0,125.38,898407.0,39374798.0,125.38,100.0,2,0,1,0,20180301
35513693307919,100.0,125.38,901962.0,39374838.0,125.38,100.0,2,0,1,0,20180301
35576035415920,100.0,125.08,933018.0,0.0,125.08,100.0,2,0,0,1,20180301
35583625234565,100.0,125.02,938978.0,40960394.0,125.02,100.0,2,0,1,0,20180301
35583625274489,50.0,125.02,938981.0,41303938.0,125.02,100.0,2,0,1,0,20180301
35583625275097,13.0,125.02,938982.0,41303938.0,125.02,100.0,2,0,1,0,20180301
35583625277257,35.0,125.02,938983.0,41303938.0,125.02,100.0,2,0,1,0,20180301
35583625297768,2.0,125.02,938984.0,41303938.0,125.02,100.0,2,0,1,0,20180301
35585217401489,15.0,124.94,939863.0,41568258.0,124.94,15.0,2,1,1,0,20180301
35639913202998,60.0,124.87,967521.0,0.0,124.87,60.0,2,0,0,1,20180301
35639913202998,40.0,124.89,967522.0,41906294.0,124.89,100.0,4,1,1,0,20180301
35639913261951,60.0,124.89,967523.0,41906294.0,124.89,100.0,2,1,1,0,20180301
35639913261951,100.0,124.89,967524.0,41906426.0,124.89,100.0,4,1,1,0,20180301
